[636, 0.691],
[637, 0.691],
[638, 0.694],
[639, 0.690],
[640, 0.693],
[641, 0.692],
[642, 0.693],
[643, 0.694],
[644, 0.693],
[645, 0.694],
[646, 0.693],
[647, 0.692],
[648, 0.692],
[649, 0.691],
[650, 0.690],
[651, 0.690],
[652, 0.694],
[653, 0.690],
[654, 0.694],
[655, 0.694],
[656, 0.692],
[657, 0.692],
[658, 0.692],
[659, 0.694],
[660, 0.690],
[661, 0.692],
[662, 0.694],
[663, 0.692],
[664, 0.690],
[665, 0.690],
[666, 0.694],
[667, 0.694],
[668, 0.692],
[669, 0.693],
[670, 0.693],
[671, 0.695],
[672, 0.693],
[673, 0.693],
[674, 0.691],
[675, 0.692],
[676, 0.693],
[677, 0.693],
[678, 0.694],
[679, 0.694],
[680, 0.692],
[681, 0.693],
[682, 0.691],
[683, 0.693],
[684, 0.691],
[685, 0.694],
[686, 0.695],
[687, 0.691],
[688, 0.690],
[689, 0.690],
[690, 0.693],
[691, 0.692],
[692, 0.693],
[693, 0.694],
[694, 0.693],
[695, 0.693],
[696, 0.692],
[697, 0.693],
[698, 0.693],
[699, 0.690],
[700, 0.694],
[701, 0.691],
[702, 0.696],
[703, 0.694],
[704, 0.691],
[705, 0.689],
[706, 0.692],
[707, 0.691],
[708, 0.691],
[709, 0.692],
[710, 0.691],
[711, 0.694],
[712, 0.693],
[713, 0.693],
[714, 0.691],
[715, 0.693],
[716, 0.694],
[717, 0.692],
[718, 0.692],
[719, 0.695],
[720, 0.693],
[721, 0.692],
[722, 0.693],
[723, 0.691],
[724, 0.692],
[725, 0.693],
[726, 0.693],
[727, 0.694],
[728, 0.692],
[729, 0.692],
[730, 0.691],
[731, 0.693],
[732, 0.694],
[733, 0.691],
[734, 0.695],
[735, 0.692],
[736, 0.694],
[737, 0.693],
[738, 0.691],
[739, 0.691],
[740, 0.692],
[741, 0.693],
[742, 0.693],
[743, 0.694],
[744, 0.690],
[745, 0.693],
[746, 0.693],
[747, 0.691],
[748, 0.693],
[749, 0.695],
[750, 0.690],
[751, 0.694],
[752, 0.695],
[753, 0.694],
[754, 0.692],
[755, 0.689],
[756, 0.692],
[757, 0.692],
[758, 0.693],
[759, 0.691],
[760, 0.693],
[761, 0.694],
[762, 0.692],
[763, 0.691],
[764, 0.694],
[765, 0.690],
[766, 0.691],
[767, 0.694],
[768, 0.693],
[769, 0.695],
[770, 0.690],
[771, 0.691],
[772, 0.691],
[773, 0.693],
[774, 0.692],
[775, 0.693],
[776, 0.694],
[777, 0.693],
[778, 0.694],
[779, 0.694],
[780, 0.691],
[781, 0.691],
[782, 0.691],
[783, 0.694],
[784, 0.694],
[785, 0.694],
[786, 0.693],
[787, 0.691],
[788, 0.691],
[789, 0.695],
[790, 0.694],
[791, 0.692],
[792, 0.692],
[793, 0.692],
[794, 0.694],
[795, 0.693],
[796, 0.692],
[797, 0.691],
[798, 0.692],
[799, 0.692],
[800, 0.692],
[801, 0.692],
[802, 0.695],
[803, 0.690],
[804, 0.692],
[805, 0.692],
[806, 0.691],
[807, 0.693],
[808, 0.692],
[809, 0.689],
[810, 0.692],
[811, 0.692],
[812, 0.694],
[813, 0.692],
[814, 0.691],
[815, 0.692],
[816, 0.690],
[817, 0.694],
[818, 0.693],
[819, 0.695],
[820, 0.691],
[821, 0.690],
[822, 0.692],
[823, 0.692],
[824, 0.693],
[825, 0.694],
[826, 0.694],
[827, 0.692],
[828, 0.695],
[829, 0.694],
[830, 0.693],
[831, 0.692],
[832, 0.691],
[833, 0.694],
[834, 0.692],
[835, 0.691],
[836, 0.692],
[837, 0.694],
[838, 0.693],
[839, 0.693],
[840, 0.695],
[841, 0.694],
[842, 0.692],
[843, 0.693],
[844, 0.695],
[845, 0.692],
[846, 0.692],
[847, 0.695],
[848, 0.694],
[849, 0.695],
[850, 0.692],
[851, 0.694],
[852, 0.693],
[853, 0.693],
[854, 0.693],
[855, 0.694],
[856, 0.692],
[857, 0.695],
[858, 0.692],
[859, 0.691],
[860, 0.692],
[861, 0.692],
[862, 0.691],
[863, 0.689],
[864, 0.693],
[865, 0.694],
[866, 0.694],
[867, 0.690],
[868, 0.692],
[869, 0.691],
[870, 0.692],
[871, 0.692],
[872, 0.692],
[873, 0.693],
[874, 0.692],
[875, 0.693],
[876, 0.694],
[877, 0.692],
[878, 0.693],
[879, 0.693],
[880, 0.691],
[881, 0.695],
[882, 0.692],
[883, 0.690],
[884, 0.695],
[885, 0.690],
[886, 0.692],
[887, 0.697],
[888, 0.693],
[889, 0.691],
[890, 0.694],
[891, 0.692],
[892, 0.690],
[893, 0.695],
[894, 0.692],
[895, 0.693],
[896, 0.691],
[897, 0.693],
[898, 0.691],
[899, 0.692],
[900, 0.689],
[901, 0.691],
[902, 0.693],
[903, 0.692],
[904, 0.695],
[905, 0.692],
[906, 0.694],
[907, 0.693],
[908, 0.694],
[909, 0.691],
[910, 0.693],
[911, 0.691],
[912, 0.694],
[913, 0.690],
[914, 0.689],
[915, 0.692],
[916, 0.691],
[917, 0.692],
[918, 0.693],
[919, 0.695],
[920, 0.693],
[921, 0.693],
[922, 0.691],
[923, 0.691],
[924, 0.694],
[925, 0.691],
[926, 0.692],
[927, 0.693],
[928, 0.693],
[929, 0.692],
[930, 0.691],
[931, 0.692],
[932, 0.692],
[933, 0.695],
[934, 0.692],
[935, 0.693],
[936, 0.692],
[937, 0.693],
[938, 0.691],
[939, 0.690],
[940, 0.694],
[941, 0.692],
[942, 0.694],
[943, 0.694],
[944, 0.693],
[945, 0.693],
[946, 0.694],
[947, 0.690],
[948, 0.692],
[949, 0.693],
[950, 0.694],
[951, 0.692],
[952, 0.692],
[953, 0.695],
[954, 0.690],
[955, 0.694],
[956, 0.693],
[957, 0.695],
[958, 0.693],
[959, 0.691],
[960, 0.695],
[961, 0.693],
[962, 0.692],
[963, 0.692],
[964, 0.694],
[965, 0.689],
[966, 0.692],
[967, 0.694],
[968, 0.692],
[969, 0.692],
[970, 0.692],
[971, 0.691],
[972, 0.692],
[973, 0.692],
[974, 0.691],
[975, 0.692],
[976, 0.695],
[977, 0.692],
[978, 0.691],
[979, 0.692],
[980, 0.692],
[981, 0.693],
[982, 0.694],
[983, 0.694],
[984, 0.692],
[985, 0.690],
[986, 0.693],
[987, 0.693],
[988, 0.693],
[989, 0.692],
[990, 0.691],
[991, 0.692],
[992, 0.693],
[993, 0.692],
[994, 0.695],
[995, 0.690],
[996, 0.693],
[997, 0.692],
[998, 0.691],
[999, 0.693],
[1000, 0.692],
